,in_sample_MSE,cv_MSE,RSE,R2,is_best,is_one_se
0,84.41955615616554,84.58251098709589,9.206223677213176,2.220446049250313e-16,False,False
1,38.48296722989415,38.71403431745152,6.221936025804002,0.5441462975864797,False,False
2,30.512468777299468,31.075557879998406,5.545772806250978,0.6385616062603404,False,False
3,27.130405758497062,28.031254779031276,5.234612525394501,0.6786241601613111,False,False
4,26.14408636879811,27.50946298820013,5.143716108537065,0.6903077016842538,False,False
5,24.64297263005347,25.863321654417007,4.998866434790979,0.7080892893529661,False,True
6,23.99421489307857,25.236884222084164,4.937576746574047,0.7157742117396082,False,False
7,23.669301696125856,25.621181942025537,4.908963316376334,0.7196230023723339,False,False
8,23.33155126542271,25.13548155931678,4.878723751572851,0.7236238576964054,False,False
9,23.0252159773874,24.98034335852122,4.851483014867883,0.7272525819160474,False,False
10,22.43515114487708,23.97131843076517,4.7937599620232945,0.7342422518382485,True,False
11,22.431818192834122,24.03970439813883,4.798262871426964,0.7342817326433453,False,False
12,22.42968143948993,24.04695580364618,4.802907911596921,0.7343070437613076,False,False
